image_name,tags
fla_ryl_2_worlds_2019_0000001340,6-12 6-8 6-9 7-12 7-7 7-8 7-9 8-7 8-8 9-6 9-7 9-8 9-9
lk_mg_worlds_2019_0000000090,10-11 12-8 12-9 13-10 2-2 3-2 3-3 3-6 3-7 4-6 7-7 8-7 8-8 9-11
cg_mmm_worlds_2019_0000000353,11-1 11-11 11-2 12-10 12-11 12-12 12-9 13-10 3-2 4-1 4-2 5-1 5-2 6-7 6-8 7-7 8-11 8-12
hka_isg_1_2019_0000000372,10-6 11-11 11-12 11-6 11-7 12-11 12-12 12-9 4-1 4-2 4-4 4-7 6-8
hka_isg_3_2019_0000000896,1-4 11-3 11-9 12-1 12-10 12-2 12-3 12-9 13-1 13-2 2-5 7-7 8-7
hka_lk_worlds_2019_0000000656,1-6 10-12 11-9 2-1 2-2 6-10 6-7 6-8 6-9 7-10 7-11 7-7 7-8 8-10 8-7 8-8 8-9
cg_mmm_worlds_2019_0000000830,11-10 11-11 12-10 12-11 3-6 3-7 4-1 4-2 4-7 6-12 6-7 7-7 7-8 7-9 8-7 8-8 9-8 9-9
fla_ryl_3_worlds_2019_0000000241,1-4 12-10 12-11 12-9 2-12 4-4 4-5 6-7 6-8 7-6 7-7 7-8 7-9
mmm_uol_worlds_2019_0000000935,11-11 11-12 12-10 12-9 2-2 3-2 3-6 4-5 4-6 4-7 5-7 6-9 7-6 7-7
hka_isg_4_2019_0000001130,10-4 11-9 12-12 12-8 12-9 13-1 3-6 3-7 4-7 5-8 5-9 6-7 7-6 7-7 9-4
dwg_fla_worlds_2019_0000000413,10-12 10-13 11-12 11-13 2-3 2-4 3-2 3-3 3-4 6-7 7-7 8-12 8-13 8-6 8-7 9-10 9-12 9-13
isg_spy_worlds_2019_0000000072,11-11 12-10 12-11 12-12 13-10 13-11 2-1 2-2 2-3 3-1 3-2 4-1 4-2 6-7 7-6 7-7 8-7
fla_ryl_2_worlds_2019_0000000150,1-3 1-4 10-10 10-7 10-8 10-9 11-7 11-8 12-10 13-10 2-3 2-4 6-7 7-7
dwg_lk_worlds_2019_0000001482,1-12 2-12 2-8 2-9 3-8 4-8 5-6 5-7 6-5 6-6 7-4 7-5 7-6 8-6
hka_isg_4_2019_0000000508,1-10 1-11 1-12 1-6 1-9 11-7 11-8 12-7 12-8 12-9 13-10 13-9 2-6 2-7 5-8 6-7 6-8
lk_mg_2_worlds_2019_0000000157,1-4 10-12 12-10 12-11 2-3 2-4 3-1 4-1 5-5 6-7 6-8 7-11 7-12 7-6 7-7 8-11 8-12 9-12
spy_uol_4_2019_0000000512,10-12 11-7 11-8 12-10 12-11 12-9 13-10 13-11 13-9 2-2 3-2 3-7 4-2 4-3 5-5 6-5 7-6 8-6 8-7
hka_isg_2_2019_0000000290,10-10 10-11 10-12 10-9 11-11 11-12 2-2 2-3 3-2 6-7 7-6 7-7 8-8 9-11 9-12 9-8
spy_uol_3_2019_0000001183,4-5 4-6 5-5 5-6 6-5 6-6 7-5 7-6 8-4 8-7 9-4
lk_mg_2_worlds_2019_0000000265,10-12 10-13 11-11 11-12 11-13 11-7 12-11 12-12 2-2 3-1 3-2 4-1 4-2 6-7 7-6 7-7 8-6 9-6
cg_ryl_2_worlds_2019_0000000693,13-6 2-3 5-2 5-3 6-2 6-7 6-8 7-8 8-7 8-8 9-8 9-9
hka_isg_2_2019_0000000143,10-8 12-10 12-11 12-9 13-10 2-1 2-2 3-1 3-2 4-1 4-5 5-5 6-7 6-8 7-7 7-8 9-8
fla_ryl_worlds_2019_0000000346,10-10 10-5 10-6 11-10 11-11 12-9 13-9 2-2 3-1 4-1 5-8 5-9 7-6 8-6
dwg_lk_worlds_2019_0000000108,10-12 4-1 4-2 5-1 5-2 6-7 6-9 7-7 7-9 9-12
lk_mg_2_worlds_2019_0000000699,0-10 0-11 1-10 1-11 1-2 1-3 10-12 11-5 11-6 12-10 12-11 2-1 2-2 5-4 6-8 7-8 7-9 8-7 8-8
spy_uol_5_2019_0000000066,1-3 10-6 10-7 12-10 12-11 12-12 2-3 2-6 2-7 3-6 3-7 6-7 6-8 7-7 7-8
mmm_uol_worlds_2019_0000000602,1-7 1-8 10-8 11-10 11-11 3-2 4-4 5-3 5-4 5-6 5-7 6-4 6-5 6-7 6-8 7-7 7-8 8-10 9-11 9-8
dwg_ryl_worlds_2019_0000000822,10-6 10-7 12-9 13-1 2-3 3-3 3-4 3-6 4-10 4-4 4-5 4-9 6-4 6-7 7-3 7-4 7-5 7-7 8-5 8-6 8-7 9-7
hka_isg_1_2019_0000000160,1-3 10-7 11-11 11-2 11-3 12-10 12-11 12-2 2-2 2-3 7-6 7-7 8-5 8-6 9-7
cg_ryl_3_worlds_2019_0000000672,0-13 0-14 11-11 12-11 13-11 13-12 13-13 14-1 3-12 3-13 4-12 4-13 7-11
spy_uol_4_2019_0000001454,5-4 6-3 6-4 7-3 7-4 8-3 8-4 8-5
spy_uol_6_2019_0000000410,0-13 1-12 1-13 1-4 11-12 11-13 12-10 12-12 12-13 2-3 2-4 3-7 3-8 5-2 5-3 5-8 5-9 6-2 6-3 6-7 6-9 7-7 8-7
hka_isg_2_2019_0000000266,1-13 10-13 11-11 11-12 11-13 12-12 2-2 3-2 7-6 7-7 7-8 8-7 8-8 9-8
fla_ryl_2_worlds_2019_0000001000,10-10 11-10 11-9 12-10 12-9 2-4 3-6 3-7 4-7 5-6 5-7 7-6
dwg_lk_3_worlds_2019_0000001108,10-3 10-4 10-8 12-5 12-6 13-5 4-1 4-2 4-3 5-1 5-2 5-4 5-6 5-7 6-2 6-3 6-4 7-4 7-5 9-8
cg_uol_worlds_2019_0000000258,1-10 10-11 10-12 11-11 11-12 11-6 11-9 12-9 3-1 4-1 5-7 5-8 5-9 6-7 6-8 7-11 7-12 7-8 8-6 8-8 8-9
hka_isg_4_2019_0000000724,12-10 12-11 13-11 4-2 4-3 5-12 5-2 5-3 6-1 6-2 6-8 7-1 7-2 7-3 7-8 8-6 8-8 8-9 9-8
hka_isg_3_2019_0000001039,1-11 1-12 1-13 10-6 10-9 11-7 2-10 2-11 3-10 3-11 3-2 4-2 4-5 5-3 5-4 7-11 7-12 8-11 8-12 8-5 8-6 9-5 9-6
fla_ryl_2_worlds_2019_0000000203,11-12 12-11 12-12 2-2 2-3 3-2 4-7 8-6 8-7
spy_uol_3_2019_0000000094,11-12 11-13 12-11 12-12 2-3 2-4 2-6 3-2 3-4 4-1 4-2 4-6 4-7 4-8 7-10 7-7
fla_ryl_2_worlds_2019_0000000665,12-10 12-9 3-1 3-2 4-1 4-2 6-7 7-7 7-8 8-8 8-9
dwg_lk_2_worlds_2019_0000000448,1-11 1-12 11-11 11-12 11-7 11-8 12-10 12-11 12-12 12-7 12-8 12-9 13-9 2-11 2-12 2-2 2-3 3-1 3-2 4-6 4-7 7-6
hka_isg_2_2019_0000000723,10-8 12-10 12-9 2-2 2-3 3-1 3-2 3-3 4-2 7-7 8-6 8-8 9-8 9-9
spy_uol_4_2019_0000000039,1-4 10-12 10-13 10-7 11-12 11-13 11-7 12-12 2-3 2-4 6-4 6-7 6-8 7-7 7-8
isg_spy_worlds_2019_0000000802,10-9 12-2 12-3 13-1 2-11 2-12 3-10 4-10 4-8 4-9 5-8 7-12 7-8 8-12 8-13 9-10 9-9
hka_isg_3_2019_0000000930,10-12 11-12 11-7 3-2 5-6 6-10 6-4 6-5 6-6 7-10 7-5 7-9 8-12 8-3 8-6 8-9 9-4 9-5 9-6
dwg_lk_2_worlds_2019_0000000218,10-12 10-13 11-12 11-13 5-2 5-3 5-4 6-8 7-7 7-8
dfm_spy_worlds_2019_0000001097,10-12 10-13 11-10 11-9 7-7 7-8 8-8 8-9 9-12 9-9
dfm_spy_worlds_2019_0000000510,1-3 10-8 10-9 11-0 11-1 11-10 11-11 12-10 12-11 7-7 8-7 9-7 9-8
dwg_lk_3_worlds_2019_0000000514,10-1 10-12 10-13 11-1 11-7 11-8 12-1 12-10 12-7 3-1 4-1 4-2 4-4 4-5 5-2 7-7 9-12 9-13
hka_isg_3_2019_0000000706,10-6 10-7 12-2 13-1 13-2 2-6 3-1 3-6 4-1 6-7 6-8 8-12 8-13 8-5 8-6 8-7 8-8 9-5 9-6
fla_ryl_2_worlds_2019_0000000333,1-11 1-12 1-13 1-3 1-4 10-10 10-12 10-9 11-11 12-11 2-11 2-4 3-12 3-13 3-4 4-13 6-7 7-6 7-7 8-8 9-8 9-9
spy_uol_2_2019_0000001188,10-6 10-7 5-4 6-3 6-4 7-4 7-5 7-6 8-4 8-5 9-4 9-5
lk_mg_2_worlds_2019_0000000568,10-11 10-12 10-8 10-9 11-11 3-3 3-4 4-1 6-7 7-7 8-10 8-11 8-12 9-12
spy_uol_2_2019_0000000790,10-12 10-13 11-10 11-12 11-13 11-9 12-10 12-9 3-1 3-10 3-2 4-1 4-2 5-8 5-9 7-7 7-8 8-8 8-9
hka_mg_worlds_2019_0000000584,10-10 10-12 10-13 10-9 2-3 3-1 3-2 3-3 4-1 5-2 5-3 5-4 5-6 6-3 6-4 6-5 8-10 8-9 9-10 9-9
hka_mg_worlds_2019_0000000831,12-10 4-5 5-5 6-7 6-8 7-8 7-9 9-6
cg_mmm_worlds_2019_0000000725,11-10 12-10 13-9 3-10 3-3 4-1 4-2 4-3 4-4 5-2 5-3 6-7 7-7
cg_ryl_3_worlds_2019_0000000495,10-9 12-9 13-1 2-4 2-5 4-5 6-5 6-6 7-1 7-2 7-5 7-6 7-7 7-8 7-9 8-8 9-8 9-9
hka_isg_4_2019_0000000841,1-7 1-8 10-12 10-13 11-12 11-13 2-7 4-6 4-7 5-6 5-7
dwg_ryl_worlds_2019_0000000308,10-10 10-11 10-9 11-11 12-1 12-11 13-1 3-2 4-1 4-2 6-7 7-7 8-6 8-7 9-10 9-7 9-9
dwg_lk_2_worlds_2019_0000000850,10-8 10-9 11-8 11-9 13-6 3-2 6-5 7-5 7-6 8-5 8-6 8-7 8-8 9-7 9-8
hka_lk_2_worlds_2019_0000000119,10-12 10-7 10-8 11-11 11-12 11-7 11-8 3-1 3-2 4-1 4-2 7-6 7-7 7-8 8-6 8-7
spy_uol_3_2019_0000000419,10-7 11-11 11-8 11-9 12-10 12-11 12-12 12-9 13-10 2-3 3-2 3-3 4-2 4-3 6-8 7-7 7-8 8-12 9-7
cg_ryl_3_worlds_2019_0000000234,10-3 10-4 11-12 11-3 12-1 12-10 12-9 13-4 2-2 2-6 3-1 3-2 3-6 4-1 5-0 5-1 6-7 7-7
cg_ryl_2_worlds_2019_0000000436,1-4 11-10 11-11 11-9 12-10 12-11 12-9 13-10 13-8 13-9 2-3 2-4 3-5 3-6 6-6 9-10 9-4 9-5 9-9
spy_uol_5_2019_0000000173,11-11 11-12 12-11 12-12 2-2 2-3 3-3 6-7 6-8 7-7 7-8 8-11 8-12
fla_ryl_2_worlds_2019_0000000180,11-11 12-10 12-11 12-12 2-2 2-3 4-5 5-5 7-4 7-6 7-7 8-6 8-7
lk_mg_2_worlds_2019_0000000098,10-11 10-5 10-6 11-11 11-12 12-10 12-11 12-12 13-11 3-1 3-2 3-3 4-8 7-6 7-7 8-6 8-7 9-11 9-6
spy_uol_6_2019_0000001363,10-6 12-6 13-7 3-6 5-5 5-6 7-3 7-7 8-7 9-5 9-6
hka_lk_worlds_2019_0000000822,10-10 7-10 7-11 7-8 8-4 8-5 8-6 8-8 9-10 9-8 9-9
hka_lk_2_worlds_2019_0000000529,10-12 11-11 11-12 12-11 12-12 2-2 3-1 3-2 4-1 7-11 7-12 7-4 7-5 7-6 7-7 8-11 8-12 8-6
hka_isg_3_2019_0000001027,1-6 13-1 2-6 5-5 5-6 7-4 7-7 7-8 8-4 8-5 8-6 9-4
hka_isg_2_2019_0000000264,1-13 10-12 10-13 11-11 11-12 12-11 12-12 3-2 7-7 7-8 8-7 8-8 9-8
dwg_lk_2_worlds_2019_0000000679,10-6 10-7 10-9 11-10 11-11 11-9 12-10 12-9 6-3 6-4 6-9 7-6 7-7 7-8 8-6 9-7 9-8 9-9
dwg_lk_worlds_2019_0000000922,1-4 10-10 11-10 2-2 2-3 2-4 3-2 3-3 4-2 4-3
hka_lk_2_worlds_2019_0000000663,10-7 11-11 11-7 11-8 2-3 2-4 3-3 3-4 3-5 3-8 4-5 6-3 6-4 6-7 7-3 7-4 7-6 7-7 9-12 9-7 9-8
spy_uol_5_2019_0000000779,0-5 1-4 1-5 10-12 11-12 2-3 2-4 2-6 3-4 3-5 7-6 7-9 8-8 8-9
lk_mg_2_worlds_2019_0000000808,1-10 1-12 1-13 1-9 13-1 13-2 13-4 6-10 6-2 6-7 6-9 7-10 7-2 7-3 7-5 7-6 7-7 7-9 8-8
cg_ryl_2_worlds_2019_0000000067,10-6 11-11 11-12 12-11 12-12 2-2 2-3 3-2 4-7 4-8 6-7 7-6 7-7
cg_mmm_worlds_2019_0000000849,10-12 10-13 10-9 11-10 11-12 2-3 3-3 4-7 5-1 5-2 6-2 6-9 7-7 8-11 8-12 9-12 9-8 9-9
dwg_lk_worlds_2019_0000000336,11-3 12-10 12-11 12-3 12-9 13-10 13-11 13-9 2-3 2-4 4-5 6-7 6-8 7-6 7-7 7-8 7-9 8-8 8-9
hka_isg_1_2019_0000000773,1-10 1-11 10-12 10-13 10-5 10-6 13-1 3-11 6-3 6-4 6-7 7-3 7-4 7-7 8-11 8-6 9-12
cg_ryl_3_worlds_2019_0000000201,10-12 11-11 11-12 12-12 13-1 3-1 3-2 4-1 5-2 5-8 6-2 7-7
spy_uol_3_2019_0000000973,1-12 11-2 11-3 11-4 13-1 13-7 2-12 6-8 7-7 7-8 8-12 8-13 8-6
lk_mg_2_worlds_2019_0000000947,10-10 10-11 10-12 10-9 11-10 11-11 11-12 11-9 12-12 4-3 5-3 5-4 7-1 7-11 7-12 7-8 8-1 8-8 9-4 9-5
dwg_fla_worlds_2019_0000000628,12-11 12-7 13-11 13-7 3-1 4-1 5-6 8-7 8-8
spy_uol_5_2019_0000001757,13-1 2-5 3-4 3-5 4-3 4-4 4-5 5-4 5-5 5-6 6-4 7-4 7-5
dwg_ryl_worlds_2019_0000000531,10-11 11-11 11-8 11-9 12-11 12-12 12-9 2-3 2-4 3-3 7-6 7-7 8-6 9-10
fla_ryl_3_worlds_2019_0000000691,1-3 11-7 11-8 12-7 12-8 12-9 13-7 13-8 2-3 3-3 4-5 6-6 6-7
dfm_spy_worlds_2019_0000000600,0-13 1-2 1-3 10-11 10-12 11-11 11-12 12-11 12-12 2-2 5-6 5-7 6-3 6-6 6-7 7-3 7-4 7-6 8-6 9-11 9-12
hka_lk_2_worlds_2019_0000000618,10-1 10-10 10-11 10-12 10-13 10-9 11-10 11-11 11-12 11-9 12-1 12-2 13-1 13-2 2-3 3-2 6-10 6-9 7-6 7-7 7-9 8-6 8-7
spy_uol_6_2019_0000000041,10-5 11-7 11-8 12-7 2-7 3-4 7-10 7-11 7-7 7-8 8-11 9-5
dfm_spy_worlds_2019_0000000424,1-2 1-3 10-12 12-10 12-11 2-2 2-3 3-6 3-7 4-6 4-7 5-6 5-7 6-7 7-6 7-7 9-1 9-12
spy_uol_2_2019_0000000196,10-12 10-13 11-11 11-12 2-2 2-6 3-2 3-6 7-6 7-7
fla_ryl_2_worlds_2019_0000000077,10-12 10-13 11-12 11-13 2-2 2-3 3-2 3-3 6-2 6-3 7-11 7-6 7-7 8-6 8-7
lk_mg_2_worlds_2019_0000000091,10-12 10-13 11-7 11-8 12-10 12-7 12-8 13-10 13-11 2-3 3-1 3-2 3-3 3-7 4-1 4-6 4-7 7-11 7-6 7-7 8-11 8-6 8-7 9-11
spy_uol_3_2019_0000000854,1-13 11-7 13-3 13-4 2-13 3-11 6-5 7-5 7-6 7-7 8-4 8-5
lk_mg_2_worlds_2019_0000000928,10-10 10-11 10-5 10-9 11-10 13-1 2-2 3-2 8-10 8-11 8-8 9-10 9-11 9-4 9-5 9-8 9-9
cg_uol_worlds_2019_0000000581,2-2 3-5 4-5 5-5 5-6 7-4 7-5 7-6 7-7 7-8 7-9 8-5 8-6 9-10
cg_mmm_worlds_2019_0000000956,11-2 11-9 12-10 12-9 2-6 2-7 3-8 4-1 4-8 5-1 5-6 5-8 5-9 6-6 7-2 7-3 7-4 8-3 9-3
dwg_lk_2_worlds_2019_0000001154,10-6 10-7 12-10 12-9 13-9 5-3 5-4 6-3 6-4 7-3 8-2 8-3 8-5 8-6 9-5
spy_uol_3_2019_0000000702,1-3 1-4 10-6 10-7 11-6 11-7 2-3 2-4 3-7 7-7 8-7 8-8 9-12 9-13
fla_ryl_2_worlds_2019_0000001457,2-6 3-2 3-5 3-6 4-2 4-3 5-12 5-13 5-4 5-6 5-7 5-8 6-12 6-4 6-5 6-6 7-6 7-7 8-10 8-9
spy_uol_4_2019_0000000511,11-7 12-10 13-10 13-11 13-9 3-2 3-7 4-2 4-3 6-5 7-3 7-5 7-6 8-6
dwg_lk_2_worlds_2019_0000000680,10-6 10-7 10-9 11-10 11-11 11-9 12-10 12-11 12-9 7-10 7-6 7-7 7-8 7-9 8-6 9-6 9-7 9-8 9-9
dwg_lk_2_worlds_2019_0000000113,10-12 10-13 11-12 11-13 3-1 3-2 4-1 4-2 5-9 6-5 6-6 6-7 7-5
cg_mmm_worlds_2019_0000000775,12-10 12-11 13-10 13-11 2-3 2-4 2-5 3-5 4-5 5-5 5-6 8-9
spy_uol_5_2019_0000001594,11-8 12-8 13-1 6-10 6-11 7-10 7-11 8-5 9-5 9-6
hka_isg_1_2019_0000000784,1-13 1-6 11-12 11-5 2-13 2-6 3-13 6-2 6-3 7-11 7-12 7-2 7-3 8-11 8-12 8-4 8-5 8-6
mmm_uol_worlds_2019_0000000583,10-10 10-11 10-9 11-10 11-11 11-3 4-3 4-9 5-4 5-7 5-8 5-9 6-12 6-13 6-8 6-9 7-12 7-13 7-5 8-11 8-12 8-9 9-9
dwg_lk_4_worlds_2019_0000000601,10-12 2-4 2-5 3-5 3-7 4-7 6-7 6-8 6-9 9-12
dwg_lk_2_worlds_2019_0000000197,10-12 11-11 11-12 12-12 13-1 13-2 3-2 4-1 4-2 4-3 4-4 6-7 7-7 8-7
fla_ryl_worlds_2019_0000000382,10-1 10-11 10-12 11-10 11-11 12-10 12-11 2-5 2-6 3-1 3-2 3-6 4-1 4-2 4-3 6-6 6-7 7-6 7-7
cg_ryl_3_worlds_2019_0000000862,10-7 10-8 11-1 11-11 11-12 11-7 11-8 11-9 12-1 12-8 12-9 13-8 5-3 5-4 7-6 8-5 8-6 9-4 9-5 9-6 9-7 9-8
dwg_lk_2_worlds_2019_0000000612,0-13 1-13 10-10 10-11 10-13 11-10 11-11 11-8 11-9 12-8 12-9 3-11 3-12 4-1 4-12 4-2 6-10 6-7 6-8 6-9 8-4 8-5 8-6 9-13
cg_ryl_2_worlds_2019_0000000130,11-10 11-11 12-10 12-11 12-12 12-9 2-2 2-6 3-1 3-2 3-6 4-1 6-2 7-2 7-6 7-7 8-6
cg_mmm_worlds_2019_0000000420,11-12 12-12 2-2 2-3 3-3 3-4 4-5 6-6 8-6 8-7
dwg_ryl_worlds_2019_0000000016,1-4 10-13 10-7 10-8 11-12 11-13 2-3 2-4 3-4 7-10 7-11 7-7
dwg_fla_worlds_2019_0000000039,1-3 1-4 12-11 12-12 13-11 2-3 2-4 6-6 6-7 7-4 7-6 7-7 8-6 8-7 8-8
lk_mg_worlds_2019_0000000358,1-13 10-12 10-13 11-11 11-12 11-13 12-12 2-2 2-3 3-2 3-3 4-2 5-2 5-3 7-10 7-7 7-9 8-6 8-7 9-12 9-13
dwg_lk_3_worlds_2019_0000000887,10-10 10-11 10-6 10-7 12-8 12-9 4-8 5-8 5-9 6-8 7-7 8-8 9-6 9-7
dwg_lk_4_worlds_2019_0000000530,10-12 10-13 11-12 13-1 2-11 2-3 2-6 3-11 3-12 3-3 3-6 5-4 5-5 6-12 9-12 9-13
dwg_lk_4_worlds_2019_0000000237,1-13 1-3 1-4 10-12 11-11 11-12 12-11 2-3 2-4 3-3 5-6 6-5 7-5 7-6 7-7 8-6 9-12
spy_uol_2_2019_0000000847,11-9 12-1 12-7 12-8 12-9 13-0 13-1 13-2 13-7 3-6 3-7 6-5 6-7 7-4 7-5 7-6 7-7
hka_isg_4_2019_0000000065,1-4 10-11 10-12 11-11 11-12 12-1 12-10 12-11 12-12 13-0 13-1 13-10 2-3 2-4 5-5 6-7 6-8 7-7 9-11
spy_uol_5_2019_0000000373,1-12 1-13 10-10 10-12 10-13 10-9 2-2 3-2 6-10 6-7 6-8 6-9 7-10 7-7 7-9 9-10 9-9
fla_ryl_2_worlds_2019_0000000829,1-13 11-12 2-11 2-12 2-13 3-2 4-4 4-5 5-5 8-4 8-5 8-6 9-5 9-6
fla_ryl_worlds_2019_0000000895,0-11 0-12 1-3 11-10 11-11 11-8 11-9 12-11 2-3 5-9 7-7 7-8 7-9 8-7 8-8 9-11
spy_uol_3_2019_0000000384,10-1 10-12 11-1 11-12 12-1 12-6 12-7 3-5 5-1 5-2 6-1 6-2 8-8 9-8
dwg_lk_worlds_2019_0000000034,5-5 6-4 6-5 7-5 8-6 9-5 9-6
dfm_spy_worlds_2019_0000000205,10-11 10-12 10-3 11-11 11-12 12-11 12-12 2-1 3-1 3-2 5-7 5-8 6-7 8-11 9-12
spy_uol_2_2019_0000000899,10-12 11-12 11-13 3-4 4-4 4-5 5-5 5-6 6-10 6-2 6-8 6-9 7-10 7-2 7-4 7-6 7-7 7-8 8-10 8-9
dwg_lk_worlds_2019_0000000653,1-4 10-10 11-9 12-10 12-9 2-4 2-5 6-4 6-8 6-9 7-3 7-4 7-6 7-7 7-8 7-9 8-10 8-11 8-12 8-6 8-7 8-8 8-9 9-10 9-12 9-13
spy_uol_4_2019_0000000149,10-8 11-10 11-11 11-12 11-7 11-8 12-10 12-11 12-12 12-8 13-11 2-2 2-3 2-7 3-2 7-7 8-7 8-8
mmm_uol_worlds_2019_0000000197,1-4 11-11 11-12 11-8 12-10 12-11 12-12 2-3 2-4 3-3 3-4 6-7 7-6 7-7
dwg_lk_2_worlds_2019_0000000984,1-12 1-13 10-9 12-8 12-9 2-2 3-1 3-2 3-3 3-4 4-1 4-2 4-4 4-8 4-9 5-3 5-4 8-5 9-5
hka_lk_worlds_2019_0000000384,10-10 10-9 11-10 12-1 13-1 13-8 3-6 4-2 4-3 6-7 7-3 7-4 7-8 7-9 9-10 9-11 9-8 9-9
isg_spy_worlds_2019_0000000375,1-4 10-7 10-8 10-9 11-9 12-10 12-9 13-7 13-8 2-3 2-4 4-6 4-8 5-8 5-9 6-7 6-8 6-9 8-9 9-10 9-9
spy_uol_6_2019_0000001298,10-10 10-12 10-3 10-4 10-5 11-10 11-11 11-12 11-13 11-4 11-5 3-1 3-2 6-4 7-4 8-4 8-5 9-5 9-7
cg_ryl_3_worlds_2019_0000000779,11-11 11-8 11-9 12-10 12-11 12-9 2-3 2-4 6-2 6-3 7-2 7-3 7-5 7-6 7-7 7-8 8-5 8-6 9-5 9-6
hka_lk_worlds_2019_0000001167,10-6 3-5 3-6 3-7 4-4 4-5 4-6 4-7 5-4 5-5 5-6 5-7
dwg_fla_worlds_2019_0000000391,1-3 1-4 10-12 10-13 10-8 11-11 11-12 11-8 11-9 12-12 2-3 2-4 4-1 4-2 5-5 6-7 6-8 7-11 8-11 8-8
spy_uol_5_2019_0000000447,10-11 10-12 11-12 3-2 3-3 4-1 4-2 4-3 6-7 7-7 7-8 8-12 9-12 9-13
